Персонажи

シエラ → Сьер | пол: женский

アルヴァ → Альва | пол: женский

アンドリス → Андорис | пол: женский

バチルダ → Батильда | пол: женский

ベルカ → Белка | пол: женский

センタウレッシ → Центауресси | пол: женский

ダイアン → Дайян | пол: женский

ドゥシェヴナヤ → Душевная | пол: женский

フェイ → Фэй | пол: женский

フローレンス → Флоренс | пол: женский

ヘレン → Хелен | пол: женский

ジャンユイ → Цзяньюй | пол: женский

クルカイ → Клукай | пол: женский

レイニー → Лейни | пол: женский

レンナ → Ленна | пол: женский

レヴァ → Лева | пол: женский

ルイス → Льюис | пол: женский

リンド → Линд | пол: женский

マキアット → Макиатто | пол: женский

メーチ → Мечты | пол: женский

モシン・ナガン → Мосин-Наган | пол: женский

ニケータ → Никкета | пол: женский

パパーシャ → Папаша | пол: женский

ペリ → Пери | пол: женский

ペリティア → Перития | пол: женский

フェトゥーサ → Фаэтуса | пол: женский

チョンジュウ → Цюнцзю | пол: женский

チュウファ → Цюхуа | пол: женский

ロベラ → Робелла | пол: женский

サブリナ → Сабрина | пол: женский

サクラ → Сакура | пол: женский

スプリングフィールド → Спрингфилд | пол: женский

スオミ → Суоми | пол: женский

トロロ → Тололо | пол: женский

ウルリド → Улльрид | пол: женский

ベクター → Вектор | пол: женский

ヴェプリー → Веплей | пол: женский

ヴォイマスティナ → Воймастина | пол: женский

ユヒ → Юхи | пол: женский

ジャオフイ → Чжаохуэй | пол: женский

チータ → Чита | пол: женский

コルフネ → Колфне | пол: женский

グローザ → Гроза | пол: женский

クロリック → Кролик | пол: женский

クセーニア → Ксения | пол: женский

リッタラ → Литтара | пол: женский

ロッタ → Лотта | пол: женский

ナガン → Наган | пол: женский

ネメシス → Немезида | пол: женский

シャークリィ → Шаркри | пол: женский

Фракции / Организации

グリフィン＆クルーガー → Гриффин и Крюгер | тип: ЧВК

I.O.P. → I.O.P. | тип: корпорация

B.R.I.E.F. → B.R.I.E.F. | тип: организация

URNC → URNC | тип: союз

非軍事勢力管理局 → Управление немилитарных сил | тип: агентство URNC

地下ブローカー → Подпольные брокеры | тип: рыночная группа

ジラール・グループ → Группа Жирар | тип: концерн

サングヴィス・フェリ → Сангвис Ферри | тип: корпорация (упраздн.)

Термины

戦術人形 → Тактическая кукла | категория: юнит

Tドール → Т-Кукла | категория: юнит

人形 → Кукла

崩壊結晶 → Кристалл Коллапса | категория: ресурс

崩壊片 → Осколки Коллапса | категория: валюта

ELID → ELID | категория: болезнь

ホワイトゾーン → Белая зона | категория: территория

グリーンゾーン → Зелёная зона | категория: территория

汚染区域 → Зона загрязнения | категория: территория

エルモ → Элмо | категория: оборудование

万里の長城鉄道 → Железная дорога Великой стены | категория: инфраструктура

マスターマインド「エリサ」 → ИИ «Элиза» | категория: ИИ/персона

銃 → оружие

ポリアロイ → полисплав

ヴァリャーゲル → Варягер

ヴァリャーゲルズ → Варягеры

フロストフォール → Фростфолл

メラニー → Мелани | пол: женский

ブルースフィア → Блюсфера | пол: женский

ロニー → Лонни | пол: мужской

マンギ・セキュリティ → Манги Секьюрити | тип: организация

世代 → поколение

レンティーネ → Лентина | пол: женский

第三世代ドール → Кукла третьего поколения
